Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/11/2020,Saturday,11,19,January,3823,Winter,Wind,18
1/11/2020,Saturday,11,3,January,1991,Winter,Wind,2
1/11/2020,Saturday,11,2,January,1771,Winter,Wind,1
1/11/2020,Saturday,11,11,January,5405,Winter,Wind,10
1/11/2020,Saturday,11,6,January,2651,Winter,Wind,5
1/11/2020,Saturday,11,20,January,4159,Winter,Wind,19
1/11/2020,Saturday,11,17,January,3850,Winter,Wind,16
1/11/2020,Saturday,11,12,January,5877,Winter,Wind,11
1/11/2020,Saturday,11,21,January,4367,Winter,Wind,20
1/11/2020,Saturday,11,16,January,4954,Winter,Wind,15
1/11/2020,Saturday,11,10,January,4548,Winter,Wind,9
1/11/2020,Saturday,11,9,January,3704,Winter,Wind,8
1/11/2020,Saturday,11,23,January,4742,Winter,Wind,22
1/11/2020,Saturday,11,1,January,1600,Winter,Wind,0
1/11/2020,Saturday,11,8,January,3308,Winter,Wind,7
1/11/2020,Saturday,11,15,January,5864,Winter,Wind,14
1/11/2020,Saturday,11,22,January,4511,Winter,Wind,21
1/11/2020,Saturday,11,0,January,5154,Winter,Wind,23
1/11/2020,Saturday,11,5,January,2401,Winter,Wind,4
1/11/2020,Saturday,11,4,January,2171,Winter,Wind,3
1/12/2020,Sunday,12,10,January,8213,Winter,Wind,9
1/12/2020,Sunday,12,15,January,8002,Winter,Wind,14
1/12/2020,Sunday,12,14,January,8785,Winter,Wind,13
1/12/2020,Sunday,12,11,January,8828,Winter,Wind,10
1/12/2020,Sunday,12,8,January,7395,Winter,Wind,7
1/12/2020,Sunday,12,5,January,6435,Winter,Wind,4
1/12/2020,Sunday,12,3,January,5999,Winter,Wind,2
1/12/2020,Sunday,12,2,January,5651,Winter,Wind,1
1/12/2020,Sunday,12,12,January,9102,Winter,Wind,11
1/12/2020,Sunday,12,19,January,4543,Winter,Wind,18
1/12/2020,Sunday,12,20,January,4303,Winter,Wind,19
1/12/2020,Sunday,12,21,January,4067,Winter,Wind,20
1/12/2020,Sunday,12,22,January,3874,Winter,Wind,21
1/12/2020,Sunday,12,23,January,3733,Winter,Wind,22
1/12/2020,Sunday,12,9,January,7765,Winter,Wind,8
1/12/2020,Sunday,12,6,January,6796,Winter,Wind,5
1/12/2020,Sunday,12,1,January,5357,Winter,Wind,0
1/12/2020,Sunday,12,17,January,5770,Winter,Wind,16
1/12/2020,Sunday,12,16,January,6800,Winter,Wind,15
1/12/2020,Sunday,12,7,January,7023,Winter,Wind,6
1/12/2020,Sunday,12,4,January,6168,Winter,Wind,3
1/12/2020,Sunday,12,13,January,9137,Winter,Wind,12
1/12/2020,Sunday,12,18,January,4993,Winter,Wind,17
1/12/2020,Sunday,12,0,January,3414,Winter,Wind,23
1/13/2020,Monday,13,3,January,2606,Winter,Wind,2
1/13/2020,Monday,13,21,January,11681,Winter,Wind,20
1/13/2020,Monday,13,9,January,3845,Winter,Wind,8
1/13/2020,Monday,13,1,January,3124,Winter,Wind,0
1/13/2020,Monday,13,2,January,2829,Winter,Wind,1
1/13/2020,Monday,13,4,January,2523,Winter,Wind,3
1/13/2020,Monday,13,18,January,9926,Winter,Wind,17
1/13/2020,Monday,13,20,January,11471,Winter,Wind,19
1/13/2020,Monday,13,19,January,10883,Winter,Wind,18
1/13/2020,Monday,13,14,January,8684,Winter,Wind,13
1/13/2020,Monday,13,10,January,4708,Winter,Wind,9
1/13/2020,Monday,13,22,January,11935,Winter,Wind,21
1/13/2020,Monday,13,5,January,2614,Winter,Wind,4
